highlight,item,pre,post,diff,(absolute)
,click-builtin-item-new-tab-button-middle,0.0%,0.0%,0.0%
,click-builtin-item-new-tab-button-right,0.0%,0.01%,0.01%
,click-builtin-item-new-window-button-left,0.02%,0.0%,-0.02%
,click-builtin-item-paste-button-left,0.01%,0.0%,-0.01%
,click-builtin-item-paste-button-right,0.0%,0.0%,0.0%
***,click-builtin-item-print-button-left,0.03%,0.14%,0.11%
,click-builtin-item-print-button-right,0.0%,0.0%,0.0%
***,click-builtin-item-search-container-left,0.99%,1.74%,0.75%
***,click-builtin-item-search-container-middle,0.03%,0.07%,0.04%
***,click-builtin-item-search-container-right,0.04%,0.08%,0.04%
***,click-builtin-item-sync-button-left,0.01%,0.05%,0.04%
,click-builtin-item-sync-button-right,0.0%,0.0%,0.0%
,click-builtin-item-tabbrowser-tabs-left,0.0%,0.02%,0.02%
,click-builtin-item-tabs-closebutton-left,0.03%,0.02%,-0.01%
,click-builtin-item-tabview-button-left,0.11%,0.0%,-0.11%
,click-builtin-item-tabview-button-right,0.0%,0.01%,0.01%
,click-builtin-item-urlbar-container-left,0.99%,0.01%,-0.98%
***,click-builtin-item-urlbar-container-middle,0.05%,0.42%,0.37%
***,click-builtin-item-urlbar-container-right,0.03%,0.31%,0.28%
,click-builtin-item-urlbar-go-button-left,0.85%,0.0%,-0.85%
,click-builtin-item-urlbar-go-button-middle,0.0%,0.01%,0.01%
,click-builtin-item-urlbar-go-button-right,0.0%,0.0%,0.0%
,click-builtin-item-urlbar-reload-button-left,7.1%,0.0%,-7.1%
***,click-builtin-item-urlbar-reload-button-middle,0.01%,0.02%,0.01%
,click-builtin-item-urlbar-reload-button-right,0.02%,0.02%,0.0%
,click-builtin-item-urlbar-stop-button-left,3.01%,0.0%,-3.01%
,click-builtin-item-urlbar-stop-button-middle,0.0%,0.0%,0.0%
,click-builtin-item-urlbar-stop-button-right,0.01%,0.01%,0.0%
,click-builtin-item-zoom-controls-left,0.0%,0.0%,0.0%
,click-menubar-menu-left,10.95%,0.0%,-10.95%
***,click-menubar-menu-middle,0.02%,0.07%,0.05%
,click-menubar-menu-right,0.09%,0.13%,0.04%
,click-menubar-menuitem-left,9.75%,0.0%,-9.75%
,click-menubar-menuitem-middle,0.06%,0.08%,0.02%
,click-menubar-menuitem-right,0.34%,0.33%,-0.01%
,click-menubar-other-left,0.18%,0.17%,-0.01%
,click-menubar-other-middle,0.0%,0.0%,0.0%
,click-menubar-other-right,0.0%,0.0%,0.0%
,customize-add,0.04%,0.0%,-0.04%
,customize-move,0.02%,0.0%,-0.02%
,customize-remove,0.03%,0.0%,-0.03%
***,customize-reset,0.01%,0.04%,0.03%
,customize-start,0.15%,0.0%,-0.15%
***,duration_bucket--__DEFAULT__,0.2%,1.44%,1.24%
***,extra_features_added--feed-button,0.41%,0.9%,0.49%
***,extra_features_added--sync-button,0.54%,1.26%,0.72%
,extra_features_added--tabview-button,2.46%,3.28%,0.82%
,features_kept--alltabs-button,99.42%,99.95%,0.53%
,features_kept--bookmarks-menu-button,94.86%,95.52%,0.66%
,features_kept--downloads-button,94.96%,95.47%,0.51%
,features_kept--home-button,96.94%,95.07%,-1.87%
,features_kept--menubar-items,99.87%,97.38%,-2.49%
,features_kept--new-tab-button,99.46%,99.53%,0.07%
,features_kept--personal-bookmarks,98.85%,98.81%,-0.04%
,features_kept--search-container,97.21%,95.35%,-1.86%
,features_kept--tabbrowser-tabs,99.99%,100.0%,0.01%
,features_kept--tabs-closebutton,100.0%,100.0%,0.0%
,features_kept--urlbar-container,99.72%,99.96%,0.24%
,features_kept--webrtc-status-button,100.0%,100.0%,0.0%
,features_moved--alltabs-button,0.08%,0.02%,-0.06%
***,features_moved--bookmarks-menu-button,0.49%,1.85%,1.36%
,features_moved--downloads-button,1.53%,1.53%,0.0%
***,features_moved--home-button,0.4%,0.9%,0.5%
,features_moved--new-tab-button,0.31%,0.28%,-0.03%
,features_moved--personal-bookmarks,0.36%,0.35%,-0.01%
***,features_moved--search-container,0.3%,0.65%,0.35%
,features_moved--urlbar-container,0.25%,0.04%,-0.21%
,features_removed--alltabs-button,0.5%,0.03%,-0.47%
,features_removed--bookmarks-menu-button,4.65%,2.63%,-2.02%
,features_removed--downloads-button,3.5%,3.0%,-0.5%
,features_removed--home-button,2.69%,4.03%,1.34%
,features_removed--new-tab-button,0.23%,0.2%,-0.03%
,features_removed--personal-bookmarks,0.79%,0.84%,0.05%
***,features_removed--search-container,2.48%,4.0%,1.52%
***,menuBarEnabled--False,51.41%,62.86%,11.45%
,menuBarEnabled--True,48.59%,37.14%,-11.45%
,sizemode--fullscreen,0.52%,0.42%,-0.1%
,sizemode--maximized,86.18%,86.43%,0.25%
,sizemode--normal,13.23%,13.15%,-0.08%
